address|lat|lon|state|district
Para Khandauli B.O|26.966655|81.210571|UTTAR PRADESH|BARA BANKI
Naduvattam S.O|11.481865|76.56833|TAMIL NADU|KRISHNAGIRI
Narkaiaganj S.O|27.105556|84.465833|BIHAR|PASHCHIM CHAMPARAN
Nadugani B.O|11.471813|76.410686|TAMIL NADU|KRISHNAGIRI
Muddunurkalan B.O|19.011055|78.100847|TELANGANA|MAHBUBNAGAR
Margala B.O|23.102078|74.059387|GUJARAT|DOHAD
Muchintala B.O|19.011055|78.100847|TELANGANA|MAHBUBNAGAR
Kubna B.O|26.143633|81.20456|UTTAR PRADESH|RAE BARELI
Posana B.O|27.8426|75.4783|RAJASTHAN|JHUNJHUNU
Pantgaon B.O|29.649672|79.306415|UTTARAKHAND|
Sahedi B.O|26.590155|77.608368|RAJASTHAN|DHAULPUR
Isoli B.O|20.532778|76.182778|MAHARASHTRA|BULDANA
Malyaur B.O|31.342943|76.762507|HIMACHAL PRADESH|BILASPUR
Kothalarivilai B.O|8.658334|78.023106|TAMIL NADU|THOOTHUKKUDI
Ladpur B.O|27.564515|78.121521|UTTAR PRADESH|MATHURA
Nimsar B.O|25.007352|84.871126|BIHAR|MUNGER
Pantkotuli B.O|29.667038|79.423971|UTTARAKHAND|
Isrul B.O|20.151659|76.124385|MAHARASHTRA|BULDANA
Panuwadeokhan B.O|29.589241|79.646666|UTTARAKHAND|
Panuwanaula S.O|29.641141|79.822579|UTTARAKHAND|
Mankundu Govt.Colony B.O|22.84|88.34|WEST BENGAL|HUGLI
Mankundu S.O|22.84|88.34|WEST BENGAL|HUGLI
Mahishrekha B.O|22.479507|88.0094|WEST BENGAL|HAORA
Nawanpind Tapprian B.O|31.107832|76.33985|PUNJAB|SHAHID BHAGAT SINGH NAGAR
Nawanshahar Mandi S.O|31.120704|76.110493|PUNJAB|SHAHID BHAGAT SINGH NAGAR
